Bill_no.,Status
"('Exempting school buses with students on board from paying turnpike tolls',)"
"('Establish the Commission on American History Enrichment',)"
"('Relating to late fees for property taxes',)"
"('Authorizing members of development authorities to accept federally authorized reimbursement for services which the members rendered on a voluntary basis',)"
"('Creating the Anti-Abuse of Power Act',)"
"('To create a state level government grant for safe houses to be implemented in the State of West Virginia',)"
"('Faithless Elector law',)"
"('Requiring party affiliation on school board elections',)"
"('Prohibit state funding for any organization that performs abortions',)"
"('To extend the Neighborhood Investment Program Act to July 1, 2026 and to increase the allowable tax credit',)"
"('Relating to adoption attorneys',)"
"('Allowing for child support arrears agreements that the Family Court must accept',)"
"('Relating to creating the refugee information act',)"
"('Provide for crime of impersonating non-public persons on social media',)"
"('Require an ultrasound prior to abortion',)"
"('Providing for termination of extracurricular contact upon retirement',)"
"('Relating to inventory tax reduction',)"
"('To require independent, third party audits every 3 years of all public utilities in West Virginia who have over 2,000 customers',)"
"('To require the Department of Environmental Protection to assume responsibility of cost and permitting of dams that are deemed to be under state control',)"
"('To exempt the first $35,000 of retirement income for senior citizens in West Virginia who are 60 years and older from state income taxation',)"
"('Providing that the WVSSAC promulgate rules relating to the right to broadcast interscholastic athletic events',)"
"('Establish a Fair Workweek for West Virginia, that accounts for predictability pay, split-shift pay, on-call pay, and an advance-notice provision',)"
"('A bill relating to pre-need funeral solicitation',)"
"('To prohibit credited time for legislative pensions',)"
"('Relating to resiliency, public safety and quality of broadband in WV',)"
"('Creating parity for mental health services',)"
"(""To amend the existing health insurance clean claims law to include workers' compensation providers"",)"
"('Create Intergenerational Poverty Task Force',)"
"('Incentivizing the Sale of Healthy, Local Produce',)"
"('Relating to assault with bodily fluids',)"
"('To put cable television network providers under the purview of the PSC for any rate increases or reductions of channels available to customers',)"
"('Establish caps on the numbers of students per classroom at all grade levels',)"
"('Amending the Hotel Motel Tax',)"
"('To differentiate the roles of public high school teachers',)"
"('To provide for the HSTA scholarships',)"
"('Making a supplementary appropriation to the Division of Human Services – Child Care and Development',)"
"('Making a supplementary appropriation to the Department of Homeland Security',)"
"('Supplementing and amending appropriations by decreasing and increasing existing items of appropriation in the DHHR',)"
"('Supplementary appropriation to the Department of Commerce, Geological and Economic Survey',)"
"('Supplemental appropriation decreasing existing items of appropriation and adding new items of appropriation in the Department of Health and Human Resources',)"
"('Making a supplementary appropriation to the Department of Homeland Security, Division of Administrative Services',)"
"('Making a supplementary appropriation to the Department of Health and Human Resources, Division of Health',)"
"('Relating to single-sex participation in interscholastic athletic events',)"
"('Relating to unemployment insurance',)"
"('Making a supplemental appropriation to Division of Human Services and Division of Health Central Office',)"
"('Decreasing and increasing appropriations to the Executive, Governor’s office',)"
"(""Making a supplemental appropriation to the Department of Veterans' Assistance - Veterans Home"",)"
"('Making a supplemental appropriation to Dept. of Commerce, Dept. of Education, Senior Services and Civil Contingent Fund',)"
"('Authorizing Higher Education Rules',)"
"('Relating to reducing personal income tax rates generally',)"
"('Relating generally to property tax increment financing districts',)"
"('Relating generally to broadband enhancement and expansion policies',)"
"('Relating to clarifying the process of filling vacancies on ballots',)"
"('Authorizing the Division of Corrections and Rehabilitation to establish a Reentry and Transitional Housing Program',)"
"('Relating to required course of study',)"
"('Relating to virtual instruction',)"
"('Social Media Integrity and Anti-Corruption in Elections Act',)"
"('Relating to increasing number of limited video lottery terminals ',)"
"('Creating and funding a Video Lottery Terminals Modernization Fund',)"
"('Relating to the jurisdiction of the Public Service Commission',)"
"('Relating to the cost of medical records',)"
"('Establishing a memorial to child labor and child workers who died in the course of employment in this state',)"
